index,timestamp,FRx,FRy,FRz,MRx,MRy,MRz
1874,68.148516,0.0,0.0,0.0,0.0,0.0,0.0
1875,68.175852,0.0,0.0,0.0,0.0,0.0,0.0
1876,68.207108,0.0,0.0,0.0,0.0,0.0,0.0
1877,68.240307,0.0,0.0,0.0,0.0,0.0,0.0
1878,68.275465,0.0,0.0,0.0,0.0,0.0,0.0
1879,68.303784,0.0,0.0,0.0,0.0,0.0,0.0
1880,68.336985,0.0,0.0,0.0,0.0,0.0,0.0
1881,68.366284,0.0,0.0,0.0,0.0,0.0,0.0
1882,68.41413,0.0,0.0,0.0,0.0,0.0,0.0
1883,68.445383,0.0,0.0,0.0,0.0,0.0,0.0
1884,68.480534,0.0,0.0,0.0,0.0,0.0,0.0
1885,68.509825,0.0,0.0,0.0,0.0,0.0,0.0
1886,68.544976,0.0,0.0,0.0,0.0,0.0,0.0
1887,68.576224,0.0,0.0,0.0,0.0,0.0,0.0
1888,68.609422,-0.011230988388971803,0.009270886109944632,-0.04671998928290283,0.044928389924560476,-0.2777691552222253,-0.06754985020601509
1889,68.640672,-0.018910109877131924,0.021675304251205965,-0.1842717213521512,-0.006929979639353915,-1.0045218127874371,-0.18055479905543115
1890,68.671923,-0.0006316502185794413,0.03867430111785197,-0.4850049745964129,-0.1433193613409196,-2.2409197848266977,-0.327992769833657
1891,68.703168,0.08633502725374989,0.05797612070220113,-0.9982329891031181,-0.44521207518086353,-3.6767587967747906,-0.4341012487774455
1892,68.734421,0.2625930221737898,0.09858310007958287,-1.8410839896854978,-0.7278625185213029,-5.1252254424868,-0.5367456644523905
1893,68.765668,0.5309594321002514,0.17632605377333532,-3.020067165520011,-0.8961166451460044,-6.77797662323891,-0.6844867256428399
1894,68.800819,0.8593678998907223,0.29186298539312483,-4.427835526156487,-0.9224686198729619,-8.813274763167572,-0.926792934553119
1895,68.8516,1.182346722916779,0.4326682055773044,-5.756749235857786,-0.7948150280244948,-11.199711581113956,-1.2466301044862231
1896,68.878942,1.4484182569945656,0.5681143695022947,-6.762478672627553,-0.7770679977290441,-13.552928193769837,-1.540674877342882
1897,68.914094,1.6355662246242713,0.6723375543587684,-7.312168345294463,-0.9324968870180135,-15.40609191386407,-1.7112267805362817
1898,68.941436,1.7449330740192859,0.7277518671559875,-7.427264323719478,-1.1402880715841663,-16.53394062466898,-1.739241528107955
1899,68.978543,1.7378472864864172,0.729214065839746,-7.118517899000651,-1.1179171586521799,-16.59463426960407,-1.7386119430595164
1900,69.00881,1.5780449289170844,0.6778940904356425,-6.388750521944521,-0.6295595101389657,-15.58206178128869,-1.764862258724205
1901,69.042014,1.2755960211392832,0.5751467727195452,-5.2542312042185255,-0.22530426359517725,-13.414325748003602,-1.7671662287164303
1902,69.07326,0.9226504151753027,0.4436572110590678,-3.903490305314174,-0.03473913960942183,-10.534211526302508,-1.6288548433597114
1903,69.102559,0.6191121181735132,0.315600153774636,-2.594919191937757,-0.26390924198898447,-7.505868308448131,-1.3332399588537078
1904,69.135762,0.40968449140202357,0.2233471710460821,-1.5630667932295952,-0.3367337997057121,-4.95181033216079,-0.9948884552583745
1905,69.170908,0.2801751922774902,0.16423325069772998,-0.8777492060937029,-0.3415103935040823,-3.1398234885564653,-0.7084883659389646
1906,69.20021,0.15222372234507836,0.09527746121570829,-0.398681659433255,-0.16195275170642337,-1.5786691675330087,-0.39133649352679656
1907,69.231456,0.06317571104141767,0.041046831160317675,-0.14064095508947005,-0.07873703491144501,-0.610958345076925,-0.16388274510076684
1908,69.27833,0.0,0.0,0.0,0.0,0.0,0.0
1909,69.313488,-0.004099481221509657,0.0127698735865721,-0.21466278775378772,-0.4315282535901879,-0.8690082230837498,-0.10249389946889653
1910,69.346686,-0.018133778663746117,0.028756252476535186,-0.6501669561760248,-1.1238319952059155,-2.4544454249912393,-0.354401378470602
1911,69.376956,-0.020536714640959953,0.047497397718477,-1.3881081738949081,-2.020679239360295,-4.78258001029366,-0.8342675046295438
1912,69.410158,0.011486185700931144,0.06801728376011743,-2.296421196426926,-2.525591387183198,-6.972431768231002,-1.52747824594235
1913,69.440475,0.09870562179205446,0.11185655041139655,-3.38447866928383,-2.9017641501607043,-9.179624620541256,-2.3877243170750533
1914,69.473687,0.23133288575926897,0.19037104280122497,-4.564794643596347,-3.237690760016586,-11.305023262170135,-3.308975171208573
1915,69.504934,0.39938171159072,0.29698806849681525,-5.680290936579015,-3.5468431969816816,-13.306674970468231,-4.134623835934405
1916,69.53228,0.5791332837202704,0.41193063946734304,-6.621173944648366,-3.676251762535596,-14.93362067032048,-4.804350347529521
1917,69.569381,0.7330785156385913,0.5088368646172347,-7.222237416507101,-3.383883306045891,-15.987874285592852,-5.26980854507274
1918,69.600633,0.8150625018179405,0.5504807734800221,-7.407608079422756,-2.764284776478174,-16.199965008512986,-5.542299253401451
1919,69.636844,0.7922533391440149,0.5260582813195366,-7.082271028480333,-1.6624674245026427,-15.435943213472388,-5.620709691841437
1920,69.666116,0.6746867438818165,0.43436565681167727,-6.256961185627429,-0.43340781175959503,-13.703745771245552,-5.44895702650083
1921,69.716905,0.5127306328863452,0.30809509014851216,-5.018733411778867,0.7230115323242909,-11.178091759378313,-4.945566712409342
1922,69.746205,0.3773410875537814,0.1699145566646473,-3.628722632787202,1.3089489471126892,-8.343111572162943,-4.080705624299358
1923,69.779389,0.29452282165990923,0.052435170170438264,-2.4031778165159725,1.4429838189627677,-5.704419969818703,-3.0412280981970605
