index,timestamp,FRx,FRy,FRz,MRx,MRy,MRz
40130,1449.987362,-0.05224851291433283,0.08931160108219134,-5.182449732032915,-1.3810425400271584,-4.169663653506395,0.22323361514823914
40131,1450.022539,-0.05230325555867727,0.08851450157598911,-5.19785271732868,-1.430730824970118,-4.135269586801748,0.2187869169714213
40132,1450.04698,-0.052994893353458174,0.08958448942605024,-5.199000796121338,-1.3966175037546429,-4.078790049563668,0.21250919355899645
40133,1450.082663,-0.0520511240293019,0.0902517242822706,-5.180762693508854,-1.3852962611150534,-4.0928122690807776,0.21311169713472627
40134,1450.111811,-0.05157247373868447,0.09143150863066057,-5.156047815222882,-1.3421642854119473,-4.118162430682972,0.21752226148627368
40135,1450.144853,-0.05114601648511913,0.09106707896283191,-5.139862760274136,-1.367773752343511,-4.138040807627437,0.22377126202818878
40136,1450.180533,-0.052542613307545366,0.09148330400945798,-5.145966951494302,-1.3416654913099475,-4.102347368690417,0.2236998679287887
40137,1450.210627,-0.05341051702095182,0.09115366052578634,-5.16001633065352,-1.3448339539655394,-4.0863173539534365,0.2212549862352661
40138,1450.245152,-0.05443282247171223,0.09121085490118211,-5.168436019203232,-1.323813083557687,-4.056445328949811,0.21883518765872984
40139,1450.290069,-0.0540491425187451,0.09057863019991948,-5.159617203159159,-1.3482199822930774,-4.047971726528287,0.21963356283751356
40140,1450.316745,-0.05312480184639119,0.08987829012401152,-5.153725440201938,-1.3838996925772975,-4.065161584501128,0.223119087605004
40141,1450.34888,-0.051432500541505125,0.08925015612081932,-5.145410016553669,-1.4293550865087454,-4.121564272156689,0.2327626497127427
40142,1450.379668,-0.0500768859635138,0.08831494116206776,-5.152924433782918,-1.4888507021941753,-4.19841062610327,0.24282298767209604
40143,1450.409275,-0.050581482885681574,0.0881444367486498,-5.165044422572453,-1.4830098878145277,-4.1996028815926305,0.24666907797895649
40144,1450.461286,-0.05242714874799698,0.08829042228672604,-5.187690414670504,-1.4418853850822724,-4.14611616756043,0.24284118481385408
40145,1450.488475,-0.05506493639543423,0.08923528205323375,-5.205608357241879,-1.338979875843401,-4.0355850371873565,0.2388329223898176
40146,1450.527366,-0.05614703077970569,0.08956738418834444,-5.208452555900629,-1.2973406105415415,-3.9630395419190294,0.23887694707256785
40147,1450.552207,-0.05696589223829003,0.09034281360880739,-5.214728887439515,-1.2604484897653638,-3.908771489138371,0.23621410898055517
40148,1450.585319,-0.055635419581901324,0.09159585470867122,-5.217990318041517,-1.2251445247876922,-3.9678110619426374,0.22692909666877129
40149,1450.62685,-0.05400198441586651,0.09258370632960684,-5.229538890186221,-1.203651725625495,-4.0820182382649115,0.21734183095852747
40150,1450.661098,-0.051405646081498835,0.09290612796082479,-5.216563131311467,-1.2024028251181058,-4.22514081719264,0.2125212532526901
40151,1450.697035,-0.05014630735380206,0.09157692078373138,-5.188479029411376,-1.282724756871406,-4.289641086887029,0.2174695957201697
40152,1450.723472,-0.05030390839547427,0.09052241747969428,-5.162666298470461,-1.3390498543085787,-4.2644337437657835,0.2238615374890751
