209,204
250,212
290,221
328,228
365,235
402,242
436,248
470,254
503,259
536,264
567,269
598,273
628,277
658,281
688,285
717,288
745,291
773,294
802,297
830,298
208,244
249,251
288,258
327,265
364,271
400,277
434,283
468,288
501,292
533,297
564,301
595,305
625,309
655,312
684,316
713,318
742,321
770,324
798,326
826,328
206,283
247,289
287,295
325,301
362,307
398,312
433,317
466,322
499,326
531,330
562,334
593,337
623,340
653,343
682,346
711,348
739,351
767,353
795,355
823,357
205,321
246,326
286,332
324,337
361,342
396,347
431,351
464,355
497,358
529,362
560,365
590,368
620,371
650,373
679,376
708,378
736,380
765,382
792,384
820,386
204,359
245,364
284,368
322,373
359,377
395,381
429,385
462,387
495,391
527,394
558,397
588,399
618,401
648,403
677,406
706,408
734,409
762,411
790,413
818,415
203,396
244,400
284,404
321,408
358,412
393,414
428,417
461,420
494,423
525,425
556,428
587,430
617,432
646,434
675,435
704,437
732,438
760,439
788,441
816,443
203,433
243,437
283,440
321,443
357,446
393,448
427,451
460,452
492,455
524,457
555,459
585,460
615,461
645,463
673,465
702,466
731,467
759,468
786,469
814,470
202,470
243,473
282,475
320,477
356,479
392,481
426,483
459,485
491,486
523,487
554,489
584,490
614,492
643,492
672,493
701,494
729,495
757,496
785,497
812,498
202,507
243,508
282,510
320,511
356,513
391,514
425,515
458,516
490,517
522,518
553,519
583,520
613,521
643,521
671,522
699,523
728,523
756,524
784,524
811,525
201,543
242,544
281,545
319,545
355,546
391,546
425,547
458,548
490,548
521,549
552,549
583,550
613,550
642,551
670,551
699,551
728,552
756,552
783,552
811,553
201,579
242,579
281,579
319,580
355,579
391,579
424,579
458,579
490,579
521,579
552,580
583,580
612,580
642,580
671,580
699,580
728,580
756,580
783,580
811,580
201,616
242,615
281,614
319,614
355,613
390,612
424,611
458,611
490,610
521,610
552,610
583,609
612,609
642,608
671,609
699,608
727,608
756,608
783,607
811,608
201,652
241,650
281,649
319,648
355,646
390,645
424,644
458,643
490,641
521,641
552,640
583,639
612,638
642,638
671,637
700,637
728,636
756,636
783,635
811,634
200,689
241,686
281,684
319,682
355,680
391,677
425,676
458,674
490,673
522,671
553,670
583,669
613,668
642,667
672,666
700,665
729,664
757,663
784,663
812,662
200,726
242,722
280,719
319,716
355,713
391,711
425,708
458,706
491,703
523,702
553,700
584,699
614,697
643,696
672,695
702,694
730,693
758,692
785,691
814,690
200,763
241,758
281,754
319,751
356,747
391,744
426,741
459,738
492,736
523,733
555,732
585,730
615,727
645,726
674,724
703,723
731,721
759,720
787,719
815,718
200,800
241,795
281,790
320,786
356,781
392,778
426,774
460,770
493,768
525,765
556,762
587,760
617,758
646,756
676,754
705,752
733,750
761,748
789,747
817,745
201,838
242,832
282,827
320,821
357,817
393,812
427,808
461,803
494,800
526,797
557,794
588,791
618,788
648,786
677,783
707,781
736,779
764,777
792,776
820,774
201,877
242,870
282,863
321,857
358,852
394,846
429,842
463,837
496,833
528,829
559,826
590,822
621,819
651,816
680,814
709,811
738,809
767,807
794,805
823,803
201,917
243,909
283,901
322,894
359,888
395,882
430,876
464,871
497,866
530,862
561,858
592,854
623,850
653,847
682,844
712,841
741,839
769,837
798,834
826,832
1056,285
1084,284
1112,282
1140,280
1169,277
1198,275
1227,272
1257,268
1287,265
1318,261
1350,258
1382,253
1415,249
1449,244
1485,238
1520,232
1558,226
1596,220
1637,213
1678,205
1059,315
1087,313
1115,312
1143,310
1171,308
1200,306
1230,303
1259,300
1289,297
1320,294
1352,291
1384,287
1417,283
1451,279
1485,274
1521,269
1559,264
1597,258
1637,251
1678,245
1061,345
1089,343
1117,342
1145,340
1173,338
1202,336
1232,334
1261,332
1291,329
1322,326
1353,324
1385,321
1418,317
1451,313
1486,309
1522,305
1559,300
1597,295
1637,290
1678,284
1064,373
1092,372
1119,371
1147,369
1175,368
1204,366
1234,365
1263,363
1293,361
1323,358
1354,356
1386,353
1419,350
1452,347
1487,344
1522,340
1559,336
1598,332
1637,328
1678,323
1066,402
1093,401
1120,400
1149,399
1177,398
1206,396
1235,395
1264,393
1294,392
1324,390
1355,388
1387,386
1419,384
1453,381
1487,378
1523,375
1559,372
1598,368
1637,365
1678,361
1067,430
1095,430
1122,429
1150,428
1178,427
1207,426
1236,425
1265,424
1295,422
1325,421
1356,420
1388,418
